,date,author,text,followers,status,favourites,retweets,replies,quotes,media,word_count,char_count,stop_words,#tag,@,numaric,upercase,URLs,emojis_count
10,2022-11-25 13:51:06+00:00,zachhomol_,ditch the bland chicken and boring workoutshybird training amp the homol cookbook be on pre - sale now link in biolet I tell you about these book ,58927,32041,74440,8,6,2,2,28,185,9,0,0,0,0,1,0
11,2022-05-26 13:12:41+00:00,KayPoissonOne,the dbee we get type kojo if you be hungry there be rice in the fridge microwave it and add chicken pick any food you want from the fridge and microwave kojo you have option kojo want jollofkelewele pancake and shawarmamake it for he muni the maid ,75929,192675,137035,677,125,68,0,50,276,22,0,0,0,0,0,0
12,2022-04-20 02:12:51+00:00,gzchef,we have get quite a range of food these chef be cook up for week from corn pancake to veggie shawarmawho will end up on top orwho like my white suit look work tip always dress for the job you want not the job you have bigrestaurantbet ,323758,17315,4624,6,4,0,0,48,271,19,2,1,0,0,0,0
13,2022-04-07 16:10:57+00:00,TheTilldays,happy thursday also nationalbeerdaywe be goin live with beer chicken shawarma with sweet potato pancakesand tiny tina wonderland it have it be go to be a good day ,1040,18643,11681,5,1,0,1,27,213,5,1,0,0,1,2,0
14,2022-10-23 18:11:06+00:00,AnneLouiseAvery,a great thunderstorm be rampage around old foxs cottage torrential rain amp fiery lightning flicker over the barrow inside all be as cosy as could be old fox have brew a huge pot of tea amp the wireless be softly play amp babcia be make toast over the fire ,41149,38070,136889,92,52,3,1,50,308,17,0,0,0,1,1,0
15,2022-10-02 07:17:02+00:00,austmus,beautiful hey these colourful guy be call fairy wrasse with their exuberant colour fiery personality and captivate courtship display they be one of the most love coral reef fishesfind out more yi - kai tea ,24891,23870,12764,21,2,1,1,39,297,10,0,1,0,0,2,2
16,2022-08-21 18:03:40+00:00,_ASunBum,I could be sit in a fiery pit and still drink tea ,1662,46639,63616,8,2,0,0,12,54,6,0,0,0,1,0,0
17,2022-12-14 07:00:02+00:00,tastemade,this pasta will gnocchi your sock off ,425685,29944,14625,26,2,1,1,8,63,2,0,0,0,0,1,0
18,2022-11-30 20:15:00+00:00,FoodNetwork,it have it be croissant it have it be gnocchi no it have it be croissant gnocchi we love cook with this naturally dye crocchi pasta ,5910627,97170,58660,30,13,11,1,20,161,2,0,1,0,0,1,1
19,2022-11-08 22:10:28+00:00,jesawyer,guy at the pasta place just say gnocchi for joshie and I be be bully ,73034,85374,177268,18,36,2,0,14,76,6,0,0,0,0,0,0
20,2022-10-30 12:00:42+00:00,Dj_europe80,tagliatelle with sausage and porcini mushroomsp if you want to make the recipe even more succulentinstead of sausage you can use dry cricket ,505,38484,36114,18,3,0,1,26,180,12,0,0,0,1,1,3
21,2022-10-20 15:57:50+00:00,AlishaJeanArt,hi twitter friend -help I make a bday xmas wish listi like all thing cat tea crystalscrystal pendant scarypost apocalyptic novel natural bathbody care astrology thing candle witchy thing plantssucculentsmushroom nature thing drop your thing ,7116,64146,84146,143,62,1,0,39,278,4,0,0,0,1,0,2
22,2022-08-30 13:42:33+00:00,dollbunyan,corn be become the new mushroom which be the new monstera which be the new cactus which be the new succulent which wa ,6461,69996,268002,2,3,0,0,23,122,13,0,0,0,0,0,0
23,2022-04-28 21:40:58+00:00,BelleStruts,I need a salty snack that have that be not crispy or crunchy soft as a dumpling but not moist do one exist the salty snack industry be miss a texture soft and salty ,14373,75122,109986,9,214,5,0,31,163,11,0,0,0,1,0,0
24,2022-02-17 07:58:47+00:00,KerthGumbs,ducana cake- inspiration take from a dish I use to eat grow up call conkie dumpling traditionally prepare by the eye and to a moist yet firm perfection the dish be predominantly make from sweet potato amp coconut steam in grape leave share culture amp food ,1444,267,677,6,2,0,1,51,308,15,0,0,0,1,1,3
25,2022-11-13 07:50:39+00:00,jasongorman,test - after tend to suffer the same drawback as rapid development in that the baby already get the candy and now you be tell they to eat some broccoli ,9066,94733,9525,13,10,3,0,27,155,14,0,0,0,0,0,0
26,2022-11-10 11:50:00+00:00,fromMA,empty the junk drawer of my mind I may be an atheist but I get to say religion have some great traditional food on holidayshow to ingratiate yourself with stranger see a kid on a protective leash and ask if it have it be a rescuesome people be eye candy but I be eye broccoli ,7602,39444,28827,3,5,0,0,52,280,21,0,0,0,2,0,0
27,2022-10-16 20:45:08+00:00,Davszj,if really good look people be eye candy I guess that put I some where around the eye broccoli category ,6761,50549,74748,6,19,2,0,22,118,8,0,0,0,1,0,0
28,2022-12-07 21:33:23+00:00,carlinethis,cold strat time again some seed germinate when fresh then become dormant worth try cold treatment on oldprecious seed mix seed with damp peat - free compost in poly bag put in fridge after about month check every week for germination keep seed safe from pest ,117,582,3287,3,1,0,1,46,303,12,0,0,1,0,1,0
29,2022-12-06 03:31:00+00:00,HotSauceBlogger,navy amp garbanzo bean soup w kale finish w fresh tomato crispy proscuitto amp calabrian chile oil great on a cold damp mondaynight now where have where be my bread food foodie atlanta atl ,4844,22050,18175,4,2,0,1,35,232,3,15,0,0,0,1,0
30,2022-12-03 15:45:11+00:00,c0kahina,winter time scream necessaire body care szn this body serum be a hydrate layer to put on fresh out the shower on damp skin before you layer your body lotion or butter hyaluronic acid to hydrate niacinamide to repair dry skin and ceramide to prevent moisture loss ,9466,240021,25509,8,2,2,1,48,296,15,0,0,0,0,1,0
31,2022-01-29 01:14:37+00:00,KNeferhetep,salty and sugary food only be deatheat pungent bitter sour and peppery food alsoand not hot saucestraight up pepperhave a balanced diet with regard to taste ,65212,182537,112146,24,4,2,0,30,172,9,0,0,0,0,0,0
32,2022-04-28 04:19:32+00:00,PinguSinatra,today dinner nd last night before we fly to india air fry chicken and pan sear broccoli ,1198,75602,98128,12,12,0,1,21,124,5,0,0,1,0,1,0
33,2022-08-29 18:52:52+00:00,humayunhussain,after dinner at home - do quickly roast fig marinate in zesty orange juice with vanilla ice cream ,5921,84649,99285,5,9,0,1,19,129,4,0,0,0,0,1,0
34,2022-03-25 12:34:52+00:00,dearvvs,ptg fight over the random thing istg they be argue abt marinate crabs ice cream segway milk ,1096,22680,8737,36,1,3,0,18,103,4,0,0,0,0,0,1
35,2022-06-17 09:12:33+00:00,ombachi13,fish stew with sukuma wiki alongside brown and white ugalia thin coating of cornstarch will crisp up the skin without overcook the inside and later help in thicken the sauce while stew fresh simple delicious amp nutritious ,113505,35907,10507,1054,187,141,1,39,268,12,0,0,0,1,1,0
36,2022-11-27 00:04:52+00:00,audricmoses,try a new pierogi flavour from my friend aska little company yesterday she make they in the commercial kitchen at her farm in strathcona county they grow most ingredient there organically and source other from local farm try they yegfood ,2758,11481,36929,3,1,0,4,43,301,14,1,0,0,0,2,1
37,2022-02-27 20:53:05+00:00,N76247476Man,today I think a little shrimp boil might hit the spot little potato sausage egg shrimp and corn plus have a little garlic bread to sop up some juice what you folk think ,69416,34594,230642,16,98,10,0,33,180,10,0,0,0,1,0,0
38,2022-11-25 23:22:35+00:00,GreenWitchTeaOZ,vegan masala sauce over chickpeas tofu veggie coconut oil onion garlic ginger chili turmeric paprika coriander cayenne garam masala fenugreek capsicum tomatoe coconut yogurt cashew or coconut cream parprika coriander to garnishhealth ,654,8050,12403,3,2,0,1,40,297,2,2,0,1,0,1,6
39,2022-04-26 11:34:12+00:00,jeffreyboadi_,stupid take firstly human be not be not livestock and secondly you have use a picture of what appear to be barley on the left look unrefined and then a piece of bread on the right refinedlastly no one think refined carbohydrate will help they lose weight not one person ,33474,32591,55876,5,4,0,0,49,303,20,0,0,0,0,1,1
40,2022-04-12 08:27:55+00:00,LukeCoutinho17,idea to add protein to your meal almond pumpkin seed ethically source yogurt peanutspeanut butter chickpeas paneercottage cheese edamame bean non - gmosoybeans non - gmo lentilshemp seeds sattu pistachio rajma kidney bean khichdi legume ,62671,22645,13187,26,7,1,0,33,265,0,0,0,0,0,0,0
41,2022-11-30 13:30:26+00:00,EarvLikes,when there have there be truffle oil on the popcorn ,985,10794,35318,4,1,0,1,8,63,3,0,0,0,0,1,0
42,2022-09-08 16:45:14+00:00,gainzy222,the trick to get rich ppl to buy anything be put truffle in it and mark it up I m serious watchbag of popcorn disgusting peasant bird - feedtruffle popcorn aristocratic gentleman snack ,190078,19384,78932,8,59,2,0,37,218,12,0,0,0,0,0,0
43,2022-08-28 19:47:55+00:00,GrnLakeGirl,about last night waugust wine from be a must have with my trufflepopcorn love this wine wawine wawinemonth seattlwurbanwine ,4765,69193,3349,5,4,0,1,25,198,9,5,2,0,0,1,3
44,2022-05-28 03:33:42+00:00,evil_slushy,good night baby remember yo have a mental break you own healthy and safety matter I be go to give u moonlight eye look bc you all so sweet sexy n important I wanna give you all be big smooch ,4391,9785,11656,5,2,0,1,39,220,8,0,0,0,5,1,2
45,2022-04-09 04:41:12+00:00,evil_slushy,night night everyone I hope you all sleep well do not forget to stay healthymwah mwah ,4391,9785,11656,14,3,0,1,15,108,1,0,0,0,1,1,0
46,2022-12-03 17:18:38+00:00,MelissaLyran,here another raw juice recipe to trysolar spark detox juice cucumber orange apple lemon grape cucumber have a lot of water so they can add volume to your juice they be also anti - inflammatory citrus for vitamin c I add the grape for sweetness and extra cleansing ,17457,11008,52339,13,7,0,1,48,304,16,0,0,0,1,1,0
47,2022-10-29 20:21:49+00:00,Andrew88964196,week of tester from start to smell grape and lemon its crazy ,1108,971,5429,8,2,0,1,15,109,4,0,1,1,0,1,0
48,2022-10-25 13:49:34+00:00,FatherFerdi,top cancer - fight food tumeric bone broth grape green tea chili pepper salmon ceviche lemon broccoli sprout sauerkraut pomegranate watercress chaga onion sprouts turkey tail mushroom fig flax seeds green mango sage aronia berry cinnamon ,33545,2767,529,10,2,0,1,36,292,0,0,0,1,3,1,0
49,2022-12-10 22:49:21+00:00,StewsSauce,stormin here today so throw on some pintos and add some applewood smoke bacon beef brat and other stuff money now simmer ,9045,67225,99164,30,58,5,2,26,195,8,0,2,0,0,1,3
50,2022-12-09 11:41:57+00:00,DivaQBBQ,tie and smoke perfect peppered beef tenderloin what have what be on your holiday menu ,37129,77362,92751,16,5,2,3,15,132,3,0,0,0,0,2,0
51,2022-12-07 19:51:23+00:00,ASovij,c today for breakfast sourdough rye sandwich with roquefort avocado grape and smoke turkey and persimmon coffee a quick dinner tagliatelle with beefmushroomtomato sauce an entertaining evening in our son arcade play pinball hubby in action ,1968,78831,265933,9,7,0,3,39,299,7,0,0,0,1,1,5
52,2022-12-12 15:42:07+00:00,TheSmokeyCarter,as we reach the half way point of our rubventcalendar behind today door be one of our most popular rub amp perfect for meatfreemonday it have it be great for make dhal amp veggie curry rub it on halloumi amp roast veggie too ,10120,18266,34122,4,2,0,1,42,259,15,2,0,0,0,1,1
53,2022-12-02 11:45:54+00:00,joukesp,fridaylunch wokkedsalmon veggie rice fiano massoanticoquick amp simple wokke salmon amp veggie w basmati riceterribly good a wee bit of thai green curry work magicregrette that stock of masso antico fiano be get low perfect pairing hopefully I can buy more ,5763,45702,571090,5,1,0,2,45,310,5,6,0,0,2,1,0
54,2022-11-26 20:20:50+00:00,hallaboutafrica,namibias vetkoek curry sandwich vetkoek be fat cake in afrikaans - think of a round donut without the hole stuff with meat veggie and other deliciousness on my list for good snack while watch any sporting event ,71317,38067,4173,9,2,3,1,38,251,13,0,0,0,0,1,0
55,2022-10-29 07:44:47+00:00,cocky_juice,I will send you fiery moth to steal your soul and I will choke you with my thornscheck out this nature wizard nftartwork nftcommuntiy openseanft ,2918,22141,19305,44,13,1,1,30,209,11,3,0,0,2,2,3
56,2022-09-24 04:17:44+00:00,goozecc,pick up a few fiery trait from the floor a cyber crown and the scav with juice outfit shellzup shellzorb ,1233,2078,10261,12,4,0,2,24,157,8,2,1,0,1,1,5
57,2022-09-22 13:49:27+00:00,Fiery_Untouched,yep I love apple juice at my big age ,14261,441248,9913,6,1,1,1,10,61,2,0,0,0,1,1,0
58,2022-01-14 00:12:08+00:00,caroledwine,I go to get the vacuum so I could enjoy a marginal time saving over sweep under the kitchen table while I be go the hot cocoa I be make boil over and now instead of clean either mess I be back on the couch on twitter ,35900,67669,211017,11,69,5,0,46,237,20,0,0,0,4,0,0
59,2022-09-10 07:42:17+00:00,EnyonamManye,watermelon how do you like it slice into piece or blend ,3731,1991,6703,5,1,1,1,13,88,5,0,0,0,0,1,1
60,2022-09-02 04:41:50+00:00,R_Khanna,fresh watermelon lime juice amp mint blend with ice top up with champagne amp garnish with an umbrella that have that be the rkxc gulmarg pocket square in my jacket amp it have it be available via the link in my bio rahulkhannaxchokore ,796352,1933,3713,6,7,1,1,40,278,12,2,1,0,1,1,1
61,2022-08-12 19:30:45+00:00,YPHoustonTX,soju watermelon cocktail at snowy dessert bar in houston watermelon chunk ice and shot of soju alcoholic beverage know as korean vodka blend together and pour inside a watermelon bellaire blvd suite -a houston tx ,104363,1009,6889,110,14,35,1,41,270,8,0,0,2,2,1,2
62,2022-12-08 21:36:26+00:00,FROsunLiberal,as a follow up red sauce on pizza people who eat pizza without tomato sauce white pizza be horrible people who be probably not even human sardine and anchovy be for people who hate themselves pineapple be totally fine and I will fight those who say otherwise ,37343,23573,51817,38,332,14,0,48,273,19,0,0,0,1,0,1
63,2022-10-10 21:39:40+00:00,ArcticAaliyah,stop right there I just put sardine on your pizza how do you feel ,11253,21945,116449,31,323,6,1,15,94,7,0,0,0,1,1,0
64,2022-07-02 00:18:55+00:00,NazaVTuber,and here we go pizza time chocolate sardine chorizo olive shrimp pineapple and relish pizza it have it be not bad bad but do not do it vtuber envtuber vtuberen esvtuber vtubere ,215,9536,8794,4,5,2,1,29,208,7,5,0,0,1,1,0
65,2022-11-30 08:17:26+00:00,ScepticalDoctor,a whole - food plant - base wfpb diet a diet base exclusively on unrefined plant food amp traditional soy product these be first - class food a well - plan wfpb diet be indubitably a healthy dietary pattern ,10597,33304,32568,4,12,1,0,33,238,5,1,0,0,2,0,12
66,2022-08-24 02:31:30+00:00,YPSanAntonioTX,smoke queso nachos at garcia barbecue in san antonio babcock rd san antonio tx ,2762,33,85,120,5,24,2,17,119,2,0,0,2,1,1,0
67,2022-11-02 00:36:10+00:00,teatime75,mycalzoneisfilledwith wine ok to be completely honest there may actually be no calzone ,2622,78081,159121,8,2,0,1,14,113,6,1,0,0,0,1,0
68,2022-01-19 18:48:40+00:00,SnSThymes,homemade calzoneswhat have what be everyone favorite fill winter comfortfood calzone tomatoe wine homemade chef pinotnoir pinot basil ,448,506,2189,7,3,0,1,17,170,0,10,0,0,1,1,0
69,2022-11-06 21:09:07+00:00,KKeke2400,I cook meat loaf chicken spaghetti and corn today ,1026,16333,64173,4,13,4,1,10,77,1,0,0,0,1,1,0
70,2022-10-28 18:40:03+00:00,poppy_haze,during the victorian era in britain flour adulteration be so common that most people would never have eat a single unadulterated loaf or roll chalk alum and if you be lucky thing like white corn or potato would be add to the flour ,10190,167886,611494,22,11,5,0,43,245,20,0,0,0,1,0,0
71,2022-09-14 14:38:45+00:00,wordloaf,today wordloaf recipe be my attempt to cram as much corn into and onto a single loaf of sourdough bread toast corn grit corn butter and fresh corn kernel plus more corn butter ,2318,28006,12799,12,9,4,2,35,239,10,0,0,0,0,2,0
72,2022-09-19 14:11:06+00:00,gregemmerson_,day aged beef mincehawaij without turmeric laffa it have it be like a pitta without the pocket onion pickle in my own basque vinegar char aubergine amp pepper spinach sour cream coriander ,3227,9342,17737,21,17,2,1,33,226,6,0,0,1,0,1,0
73,2022-07-08 19:04:59+00:00,gregemmerson_,aged sirloin give the koji lovea riff on a romesco sauce use konro char pepper px dehydrate onion etc char shallot burn leek crispy onion coriander and yuzu oilmade a glaze for the steak use shitake bonito flake beef bone stock ,3227,9342,17737,4,2,0,1,46,283,9,0,0,0,2,1,0
74,2022-03-24 07:03:56+00:00,SandroDemaio,what have what be for dinner team we be have mexican tonight fresh local tortilla top with grill chicken avo tomato salsa coriander lime and a kick of chili we also love they with grill eggplant instead of chicken serve with char corn and a big green salad ,56328,27352,126247,5,102,6,0,45,271,12,0,0,0,0,0,0
75,2022-11-20 18:40:45+00:00,Manny023gold,I decide to buy shawarma this night and all I find in it be locust bean just becausei pay ,10568,82480,104273,23,14,0,0,20,99,8,1,0,0,2,0,0
76,2022-09-20 17:31:19+00:00,AsabeKitchen,tomorrows menuchicken shawarma jollof ricefrie rice and chicken spaghetti and chicken plantainchocolate cake loaf ice - cream semo and egusi bean plantain and fish ,2012,882,2181,11,1,0,1,32,232,4,0,0,6,0,1,0
77,2022-08-28 17:21:36+00:00,ballonstagger,one day bean seller ein kiddie go chop shawarma ,7199,32188,5511,13,5,3,0,10,51,1,0,0,0,0,0,2
78,2022-12-13 07:51:31+00:00,eojs_cookeryng,product tip our meat pie be delicious and flaky because it have enough cold butter use cold ingredient for your pie give it a great taste and texturelet we supply your event with our delicious pie onlinetradefair askforvendor ,3276,32776,36580,27,13,0,1,44,283,14,2,0,1,0,1,2
79,2022-12-07 18:01:05+00:00,thekitchn,butter temperature affect how cakey crispy or flaky your cookie will be here what melt cold and room - temperature butter do in cookie ,287843,63586,3089,13,3,0,1,24,193,8,0,0,0,0,2,0
80,2022-11-27 01:28:31+00:00,mminthecity,can not believe I commit myself to stop talk cold turkey to not one but two attractive annoyingly flaky and consistent failure at keep their word people in my life and I have actually stick to it with no whining or complain or urge to contact they who be I ,7589,394226,25201,3,7,2,0,48,275,21,0,0,0,1,0,0
81,2022-09-20 17:23:58+00:00,VeganOlive1,a tale of two stir fry on the left with edamame bean amp smoke tofu and right quorn for meload of veggie antioxidant mineral and goodness itseasybvegan plantpowere veganfoodshare ,31945,108352,199308,3,5,0,1,31,242,9,3,0,0,1,1,8
82,2022-04-22 20:23:12+00:00,vegannutrition1,what I eat in a day high raw breakfast - raw chocolate granola with soy milk banana and fresh blueberry lunch - miso soup with cashew milk marinate mushroom edamame rice noodlesdinner - lettuce cup with chipotle mushroom edamame guac amp smoke tofuvegan ,25735,28459,70772,13,5,2,4,48,306,6,1,0,0,1,1,2
83,2022-02-07 16:29:46+00:00,SanjeevKapoor,a stunner evening spend at by s in pune black bean fish with orange zest edamame amp truffle dumpling smoke waterchestnut tortellini be some of their delish item on the menu everyone in and around pune add this place to your list ,2167347,46082,4484,3,2,0,4,44,302,16,0,2,0,1,1,0
84,2022-08-25 23:00:12+00:00,_drazzari,be seaweed art tonight it be as we host for our pinksociety chat here the feature edna valley ros with a nose of orange peel cantaloupe and peach with flavor of tart cherry raspberry and hint of bubble gum come join we in hour ,9880,181964,186432,11,3,1,1,49,299,17,1,3,1,0,1,0
85,2022-01-14 18:53:40+00:00,RedwallFeasts,yurr lookit ee gurt pear and plum pudden oh an see those likkle honeynut tart they have get cream on top that look like a twirl mmm have you taste the soup yet tis full o rockshrimp an seaweed ,27515,4986,0,11,1,1,0,38,204,11,0,0,0,0,0,0
86,2022-03-07 07:31:01+00:00,MumukshuSavitri,dessert from last night - shahi tukrey whole wheat bread pan fry in ghee smother with slow simmer thick badam rabri garnish with pistachio amp raisin ,30305,57446,124729,6,41,2,1,27,189,5,0,0,0,0,1,0
87,2022-02-23 04:00:00+00:00,VisitIran3,sohan confectionery be a traditional persian saffron brittle toffee make in iran especially in qom its ingredient consist of wheat sprout flour egg yolk rise water sugar vegetable oil saffron cardamom and sliver of almond and pistachio ,8012,1606,11229,32,7,2,1,41,301,9,7,0,0,0,1,0
88,2022-08-26 14:36:41+00:00,amerix,bloat indigestion leaky gut heal your gut- cabbage cabbage juice amp sauerkraut- chlorophyll - green leafy veggie eg broccoli cucumber spinach- bile salt - apple cider vinegar- fasting- betaine hydrochloride - pepsinfoodfriday ,1144355,73698,2382,469,18,5,0,38,267,1,1,0,0,1,0,0
89,2022-08-22 22:03:28+00:00,LeArielleSimone,food that help with anxiety almondsapplesapple cider vinegarartichokebananasbarleybeansblueberriesbranbroccolibrown ricebrussels sproutsbuckwheatcarrotschia seedschickpeaskombuchamisooatspearspicklespickle jalapeostempehwalnut ,88632,164009,90027,144,6,2,0,35,256,2,0,0,0,0,0,0
90,2022-07-26 17:48:38+00:00,CharcoalMonkeys,pork belly sous vide hour smoke with apple wood over charcoal for hour wrap and cook a further hour over charcoal with roast potato mustard veloute with mustard seeds celeriac puree cauliflower broccoli shallot leek crackle apple sauce cider gravy ,575,377,497,14,5,1,4,44,304,9,0,0,3,0,1,0
91,2022-12-12 07:06:36+00:00,thinbeach,calorie high protein chili cheese fry I know edtwt be all smoothie bowl n shit but I be not ,3119,4778,1530,29,14,13,1,21,122,3,0,0,1,2,1,0
92,2022-12-06 04:23:57+00:00,KennieJD,literally everything banana greek yogurt oatmeal bagel thai chili sauce stir fry noodle cookie smoothie peanut butter stew chick skewer ,88255,35075,71816,45,27,2,0,21,180,0,0,0,0,0,1,0
93,2022-11-11 23:51:19+00:00,ElspethEastman,it might sound weird but chili dog and taki slime together be actually a solid smoothie indieland delish ,53386,29636,58047,8,11,0,0,18,115,6,2,0,0,0,0,0
94,2022-12-05 14:46:03+00:00,badyarn,awfulchristmasdecoration shrimpmas treesthe complete cookbook of american fish and shellfish merry shrimp horsdoeuvre festive tangy ,66,1026,94,3,2,1,1,18,172,2,6,0,0,0,1,0
95,2022-08-11 17:37:16+00:00,McBrideWriter,who want a shrimp salad with roasted corn feta radish and a tangy buttermilk - lime dressingfood cooking bake foodpoll ,76369,186176,232473,38,55,9,1,20,154,4,4,0,0,0,1,0
96,2022-08-09 18:54:24+00:00,FoodieGrizzly,hot and sour wanton souppork amp shrimp dumpling in chili hot peppery spicy tangy delucious pork broth with full of shiitaki lily flower wood ear mushroom bamboo shoot and tofuyummyliciouschef yummylicious cheffoodphotography ,3076,24601,56842,6,9,0,1,36,265,6,4,0,0,0,1,0
97,2022-12-02 11:13:54+00:00,SeasonedPioneer,win a gin amp tonic garnish box it have it be the perfect gift for any gin lover or even a little treat for yourselfcontainsrose petalslavender flowersgreen cardamom podspink peppercornsjuniper berriesstar anisesaffron threadsrosemarygiveaway competition contestalert ,3263,2990,34742,306,297,9,2,43,303,7,3,0,0,1,1,0
98,2022-04-18 06:56:10+00:00,WindwalkerWrite,on her lip I taste the salt of his body grief be her perpetual garnish I can not begrudge she the unfade flavor of memorybut one day - one day I hope to flood her tongue with cardamom and nutmeg to overwhelm her sense with vanilla and something so like joyvss ,20876,89929,217622,12,8,1,0,52,277,22,2,0,0,3,0,0
99,2022-10-10 12:10:09+00:00,PippaPippapoppy,lunch after our long walk this morning the rest of yesterday spanakopita labneh ball in olive oil and oregano greek salad and falafel follow by home make vanilla yoghurt and hot caramel coffee sauce I do not have second ,12126,163577,298868,4,39,0,1,40,259,11,0,0,0,1,1,4
100,2022-06-09 19:49:01+00:00,PippaPippapoppy,no walk photo take today so here be from yesterdaydinner by oh be spanakopita stuff aubergine mozzarella tom and basil amp a tom amp zucchini sauce sort of greekitalian fusionit be delish I be so night night sleep well see ya tomorrow xx ,12126,163577,298868,5,31,0,1,46,298,12,0,0,1,1,1,4
101,2022-12-07 01:53:04+00:00,OddVancouver,close after a night run people help dinner of perogie chicken pasta pizza sandwich chili shepherd pie thank to all our volunteer and everyone who donate - lot of gear give out we be a small shelter but do what we can oddfellow homelessness ,202,130,25,5,2,2,1,46,298,15,2,0,2,1,1,0
102,2022-11-29 04:49:00+00:00,al33jr_,ok whatever can u please keep strawberry custard pie and sweet chili fish burger permanent stop make it seasonal pls thank you ,12495,60006,69594,14,5,0,0,23,154,6,0,0,0,0,1,0
103,2022-11-23 20:27:18+00:00,TiggsIsACupcake,have chili todaytomorrow make tater pea and dressing that have that be my thanksgiving I only get a turkey breast for meat for sandwich what have what be your favorite of all foodstuff for the holiday I be have mine gravy maybe a dutch apple pie and sharp ,1881,5636,15223,9,25,3,0,44,264,14,0,0,0,1,0,1
104,2022-02-05 03:21:06+00:00,Tylenopants,make breakfast for dinner cheesy scramble pancake bacon hashbrown and orange to garnish call that bdsm breakfast delight surround I ,4231,39618,165738,4,3,1,1,21,169,4,0,0,0,1,1,0
105,2022-10-21 20:27:24+00:00,lunch_enjoyer,I m like popeye if his thing be drink two beer at the skatepark instead of eat spinach and save his girlfriend ,118281,54095,218246,44,4,0,0,21,119,9,0,0,0,0,0,0
106,2022-09-29 00:35:19+00:00,ColinCowherd,chicken parm saute spinach and a fabulous beer slaysteakmb ,1621397,38037,115,16,122,11,1,10,88,2,1,0,0,0,1,0
107,2022-09-10 01:09:09+00:00,Just4BeerLovers,perfect pair amptopping include baby spinach cherry tomatoe green olives garlic red onion extra provolone amp mozzarella cheese beer be an imperial ipa abv by charlotte clt craftbeer pizza foodie tgif ,5134,19671,142221,7,7,0,1,37,302,3,6,3,0,2,1,2
108,2022-01-11 17:49:41+00:00,treesontrees47,another kitchen tip when u cook onion make sure to liberally add salt salt pull the moisture from the onion and allow they to cook in their own juice provide a much well flavor without salt your onion they will eventually get burn and black sweatyouronion ,194,6430,21349,3,2,0,0,47,278,20,1,0,0,0,0,1
